Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
X483920176,Joint WROS,FZFXX**,HELD IN MONEY MARKET,,,,"$6,645.97 ",,,,,10.66%,,,Cash
X483920176,Joint WROS,BIL,SPDR SERIES TRUST STATE STREET BLOOMBERG 1-3 MONTH T-BILL ETF,83.856,$91.51 ,$0.00 ,"$7,673.66 ",$0.00 ,0.00%,($10.07),-0.14%,12.30%,"$7,683.73 ",$91.63 ,Margin
X483920176,Joint WROS,FNILX,Acme ZERO LARGE CAP INDEX FUND,428.791,$27.03 ,$0.46 ,"$11,590.22 ",$197.24 ,1.73%,"$3,704.75 ",47.01%,18.58%,"$7,885.47 ",$18.39 ,Margin
X483920176,Joint WROS,FZILX,Acme ZERO INTERNATIONAL INDEX,710.181,$17.09 ,$0.23 ,"$12,136.99 ",$163.34 ,1.36%,"$4,275.29 ",54.31%,19.46%,"$7,861.70 ",$11.07 ,Margin
X483920176,Joint WROS,IAU,ISHARES GOLD TR ISHARES NEW ISIN #US4642852044 SEDOL #BKP74N6,58.189,$81.26 ,$2.07 ,"$4,728.44 ",$120.45 ,2.61%,"$1,070.10 ",29.24%,7.58%,"$3,658.34 ",$62.87 ,Margin
X483920176,Joint WROS,NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NUCLEAR RENAISSANCE INDEX ETF,70.335,$70.22 ,$1.91 ,"$4,938.92 ",$134.34 ,2.79%,"$1,254.07 ",34.03%,7.92%,"$3,684.85 ",$52.39 ,Margin
X483920176,Joint WROS,SHLD,GLOBAL X FDS DEFENSE TECH ETF,64.521,$63.28 ,($0.54),"$4,082.89 ",($34.84),-0.85%,$405.19 ,11.01%,6.55%,"$3,677.70 ",$57.00 ,Margin
X483920176,Joint WROS,VGK,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF,117.581,$89.87 ,$0.25 ,"$10,567.00 ",$29.40 ,0.27%,"$2,198.76 ",26.27%,16.94%,"$8,368.24 ",$71.17 ,Margin
XQMTVRWK,Alex's old brokerage,FCASH**,HELD IN FCASH,,,,$0.21 ,,,,,100.00%,,,Cash
8043672915,IRA (Alex),SPAXX**,HELD IN MONEY MARKET,,,,"$59,680.85 ",,,,,15.89%,,,Cash
